問　　　　　題,選択肢 ア,選択肢 イ,正解
（　　）am Suzuki Ken.,I,You,ア
I　（　　）　Suzuki Ken.,am,are,ア
I （　　） a student.,are,am,イ
I am （　　） student.,a,from,ア
I am （　　） Japan.,a,from,イ
I （　　） from Japan.,are,am,イ
（　　） are Mr. Sato.,You,I,ア
You （　　） Mr. Sato.,am,are,イ
（　　） are a teacher.,I,You,イ
You （　　） a teacher.,are,from,ア
You are （　　） New York.,a,from,イ
You are from （　　）.,teacher,New York,イ
（　　）am Mike.,Are,I,イ
I　（　　） Mike.,am,are,ア
（　　） are a student.,I,You,イ
You （　　） a student.,am,are,イ
（　　）'m from America, too.,I,You,ア
I'（　　） from America, too.,m,re,ア
I'm （　　） America, too.,from,a,ア
You'（　　） an English teacher.,re,m,ア
（　　）'re an English teacher.,I,You,イ
（　　） am Kimura Tsuyoshi.,I,You,ア
I （　　） Kimura Tsuyoshi.,are,am,イ
（　　） are Mr. White.,You,I,ア
You （　　） Mr. White.,am,are,イ
（　　） am a junior high school student.,You,I,イ
I （　　） a junior high school student.,am,are,ア
I am （　　） junior high school student.,×,a,イ
I am a junior high school （　　）.,students,student,イ
I am （　　） a teacher.,not,are,ア
I am not a （　　）.,Kyoto,teacher,イ
You are （　　） a student.,nto,not,イ
You （　　） not a student.,are,am,ア
Are you a student?―― （　　）, I am.,Yes,No,ア
Are you a student?――（　　）, I'm not.,Yes,No,イ
Are you from Australia?―― No, I （　　）.,am,am not,イ
Are you from Australia?―― Yes, （　　） am.,I,You,ア
I am （　　） Tom.,not,are,ア
I am not （　　） Tom.,a,×,イ
You （　　） a tennis player.,are not,am not,ア
You are （　　） tennis player.,not a,a not,ア
（　　） you Jack?,Am,Are,イ
Are （　　） Jack? ,I,you,イ
Are you Jack? - Yes,（　　）.,I'm not,I am,イ
Are you Jack? - No, （　　）.,I'm not,you're not,ア
（　　） am not a student. ,I,You,ア
I am （　　） a student. ,no,not,イ
（　　） you from America? ,Are,Aer,ア
Are you from （　　）? ,america,America,イ
Are you from America? ―― Yes, （　　） am.,I,you,ア
Are you from America? ―― （　　）, I am.,No,Yes,イ
Are you from America? ―― （　　）, I'm not.,No,Yes,ア
Are you from America? ―― No, I'm （　　）.,not,×,ア
This （　　） a dog.,is,am,ア
（　　） is a dog.,I,This,イ
This （　　） Akira.,are,is,イ
This is （　　）.,akira,Akira,イ
That is （　　） cat.,a,×,ア
That is a （　　）.,cat,Akira,ア
（　　） is Yumi.,I,That,イ
That is （　　）.,Yumi,a Yumi,ア
This is （　　） book.,an,a,イ
This is a （　　）.,books,book,イ
That is （　　） apple.,an,a,ア
That is an （　　）.,apple,apples,ア
This is （　　） dog.,I,my,イ
（　　） is my dog.,This,You,ア
That is （　　） computer.,your,an,ア
（　　） is your computer.,You,That,イ
My name （　　） Suzuki Ken.,are,is,イ
（　　） name is Suzuki Ken.,I,My,イ
This （　　） a pen. ,is,are,ア
This is （　　） pen. ,an,a,イ
This （　　） Bob.,is,am,ア
（　　） is Bob.,This,The,ア
That is （　　） car.,a,an,ア
That is a （　　）.,car,cars,ア
That （　　） Mr. Smith.,are,is,イ
（　　） is Mr. Smith.,Tha,That,イ
This （　　） my pencil.,is,am,ア
（　　） is my pencil.,These,This,イ
That （　　） your bike.,are,is,イ
（　　） is your bike.,That,That’s,ア
This is （　　） camera.,Mike's,Mike,ア
This （　　） Mike's camera.,are,is,イ
（　　） name is Bill White.,I,My,イ
My name （　　） Bill White.,is,am,ア
This （　　） a guitar.,is,am,ア
This is （　　） guitar.,a,×,ア
This is （　　） computer.,my,a my,ア
This is my （　　）.,computers,computer,イ
That is （　　） bag.,your,a your,ア
That （　　） your bag.,are,is,イ
This is （　　） a book.,not,no,ア
This is not （　　） book.,a,an,ア
This is （　　） your pen.,no,not,イ
（　　）  is not your pen.,This,I,ア
（　　） your book?―― Yes, it is.,Are this,Is this,イ
Is this your book?―― Yes, （　　） is.,this,it,イ
（　　） that a pencil?,Is,Are,ア
Is that a pencil?―― No, it is not. （　　） is a pen.,That,It,イ
（　　） this a pen? ,Is,It's,ア
（　　） a pen? ,This is,Is this,イ
Is this a pen? - Yes, （　　）.,this is,it is,イ
Is this a pen? - （　　）, it is.,Yes,No,ア
（　　） that a car? ,It's,Is,イ
（　　） a car? ,Is that,That is,ア
Is that a car? - （　　）, it isn't. ,No,Yes,ア
Is that a car? - No, it （　　）. ,is,isn't,イ
Is that a car? - No, it's （　　）.,not,is not,ア
This is （　　） a book. It is an album.,not,no,ア
This is not a book. （　　） is an album.,It's,It,イ
This is not a book. It is （　　） album.,a,an,イ
That （　　） a new desk. It's an old desk.,isn't,is'nt,ア
That isn't a （　　） desk. It's an old desk.,new,old,ア
That isn't a new desk. It's an （　　） desk.,new,old,イ
That isn't a new desk.（　　） an old desk.,It's,It,ア
This （　　） an egg.,is not,not is,ア
This is not （　　） egg.,an,a,ア
（　　） your computer?,That is,Is that,イ
Is that your computer?―― Yes, （　　）.,it is not,it is,イ
Is that your computer?―― No, （　　）.,it is,it is not,イ
（　　） my house.,It's,It's is,ア
It's （　　） house.,a my,my,イ
（　　） is this?―― It is a cup.,What,It,ア
What is this?―― （　　） is a cup.,What,It,イ
（　　） that?―― It's a glass.,What's,What,ア
What's that?―― （　　） a glass.,It,It's,イ
Is this a pen （　　） pencil?―― It's a pencil.,or,and,ア
（　　） this a pen or pencil?―― It's a pencil.,Is,What,ア
